release_id,cover_url
698404,https://i.discogs.com/7BEllE8jKauNRZzzK_qVCbtDZ3ePy8wG80ngTYHoQbg/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY5ODQw/NC0xMzgwODkwMzk5/LTkyMzMuanBlZw.jpeg
853460,https://i.discogs.com/MD0NvhTBQrX2lb4ZYgzTGt9X6warkxM-5iIF90bgrQA/rs:fit/g:sm/q:90/h:486/w:496/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1MzQ2/MC0xMTY1NTg4Mjg3/LmpwZWc.jpeg
84784,https://i.discogs.com/uhftCdJbyhErReWOU_gSYtLg5GqGPbt6uJeaoIkdIIE/rs:fit/g:sm/q:90/h:524/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0Nzg0/LTEzNDAwODY1NTAt/MTc1MC5qcGVn.jpeg
345729,https://i.discogs.com/PL493OAYI-W9MazvWPCo5kpDgw-ls25jBw0qgr3nXWY/rs:fit/g:sm/q:90/h:571/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NTcy/OS0xMTU3MjMyMjE4/LmpwZWc.jpeg
1202331,https://i.discogs.com/YclxmTGR6dOxn4AadLkTVWLTo_6Fe8GKJyI3gXQb-eA/rs:fit/g:sm/q:90/h:531/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMDIz/MzEtMTIwMDQwMzMz/Ni5qcGVn.jpeg
55147,https://i.discogs.com/Frj-R6wdMklhtcqlzuvTFtadZiNA7vaojU4e9P7Kkuw/rs:fit/g:sm/q:90/h:528/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MTQ3/LTE1NDY1ODAzMDQt/NDMwMS5qcGVn.jpeg
1441687,https://i.discogs.com/tlW5TQF-4E2VtA1aWjV6oC3O76LSE-fYfbb3e6keFQQ/rs:fit/g:sm/q:90/h:458/w:551/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NDE2/ODctMTI4NzQzMDc3/NC5qcGVn.jpeg
1987874,https://i.discogs.com/LT2YsiSXj-JCg1R8rT3FLUAGxcDhiLFwjba1gbSv3Nk/rs:fit/g:sm/q:90/h:541/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5ODc4/NzQtMTYxMzc0NzQz/Ni04Mzg4LmpwZWc.jpeg
2571196,https://i.discogs.com/kfQGIEHQ43nQDPqSL-Q0pFbIAPClPC8LjPEvCZbnONU/rs:fit/g:sm/q:90/h:584/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NzEx/OTYtMTQxMTc2Njcw/MC00MDkwLmpwZWc.jpeg
2578815,https://i.discogs.com/FW7DNVN5XqVxPSoy_FY5sz8y5lbH-Y0TGsUN3Qc6028/rs:fit/g:sm/q:90/h:600/w:535/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzg4/MTUtMTUxNjc3ODUx/NS0yMjMwLmpwZWc.jpeg
3374014,https://i.discogs.com/l-bikX16Q1K_2d3NjU6J_K5r1i881nZlR3RVZvai18E/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzNzQw/MTQtMTMyNzg2MTI2/Mi5qcGVn.jpeg
3390523,https://i.discogs.com/WgMlplaW4ufnPurPLtxI0ndScOF4gbyrFv7QVoxuRnY/rs:fit/g:sm/q:90/h:530/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzOTA1/MjMtMTU4NjM0MjQ3/MS00OTQ3LmpwZWc.jpeg
3547943,https://i.discogs.com/uPf8mnRfXPAHIQ7wlHHGB82gVj4v0wgqUJnfZvrFEOo/rs:fit/g:sm/q:90/h:471/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NDc5/NDMtMTM3NTQzMzY5/NS03NDAzLmpwZWc.jpeg
4139410,https://i.discogs.com/o6a0kg_VbLl44MVpTSt2SG7e1g21NUVfnTQMHZ4PIdA/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMzk0/MTAtMTM1NjYyNjU0/Mi02OTc0LmpwZWc.jpeg
6352680,https://i.discogs.com/7PE8rwmJd6CazYshqRTsEyMXLIP3prseNGu3_JuyLFk/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYzNTI2/ODAtMTQxOTY5OTM3/OS01MzA4LmpwZWc.jpeg
8345034,https://i.discogs.com/bbzMnBtZVlqfcCdw1Ebq1eSyNrLUETrUlbFlLiTuizo/rs:fit/g:sm/q:90/h:600/w:595/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzNDUw/MzQtMTQ1OTc4NDQw/OS04NTU1LmpwZWc.jpeg
8497773,https://i.discogs.com/ozE9bONyDBHElRmqQ041mWeyywlDh8YBxDvRVgPG-_c/rs:fit/g:sm/q:90/h:511/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0OTc3/NzMtMTQ2Mjg3NDI4/My00MzUzLmpwZWc.jpeg
10499559,https://i.discogs.com/4GbolvIhB61Hm2q5RrlStfO48etuJHrv6L1WNEvPwQk/rs:fit/g:sm/q:90/h:524/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDk5/NTU5LTE2ODM3MTY4/NDctNTA3Ni5qcGVn.jpeg
